Field	Time	Subject1:AnkleAngle:X	Subject1:AnkleAngle:Y	Subject1:AnkleAngle:Z	Subject1:FootProgression:X	Subject1:FootProgression:Y	Subject1:FootProgression:Z	Subject1:HipAngle:X	Subject1:HipAngle:Y	Subject1:HipAngle:Z	Subject1:KneeAngle:X	Subject1:KneeAngle:Y	Subject1:KneeAngle:Z	Subject1:metaAngle:X	Subject1:metaAngle:Y	Subject1:metaAngle:Z	Subject1:metatarsal:X	Subject1:metatarsal:Y	Subject1:metatarsal:Z	Subject1:PelvisRot:X	Subject1:PelvisRot:Y	Subject1:PelvisRot:Z	Subject1:ankle:X	Subject1:ankle:Y	Subject1:ankle:Z	Subject1:caudal:X	Subject1:caudal:Y	Subject1:caudal:Z	Subject1:head:X	Subject1:head:Y	Subject1:head:Z	Subject1:hip:X	Subject1:hip:Y	Subject1:hip:Z	Subject1:knee:X	Subject1:knee:Y	Subject1:knee:Z	Subject1:lumber:X	Subject1:lumber:Y	Subject1:lumber:Z	Subject1:stick:X	Subject1:stick:Y	Subject1:stick:Z	Subject1:toetip:X	Subject1:toetip:Y	Subject1:toetip:Z	Subject1:hipYZY:X	Subject1:hipYZY:Y	Subject1:hipYZY:Z	Subject1:avPEL:X	Subject1:avPEL:Y	Subject1:avPEL:Z
1	0.0000										104.43	3.1806e-015	1.1927e-015										-435.7	541.39	56.817				-295.87	863.77	124.65	-459.53	608.24	78.343	-410.98	599.46	84.237	-474.01	638.72	94.345	-493.92	618.35	117.33	-379.43	499.05	78.557				73.633	5.9121	1.7759
2	0.0040	1.0922	-0.27881	-14.318							94.589	0	1.2921e-015	58.901	-6.0868	-170.03	-370.54	523.52	76.064				-417.33	536.92	59.027				-292.25	868.11	125.11	-460.47	610.27	78.107	-406.3	603.72	83.977	-469.7	638.99	93.487	-491.28	620.26	115.54	-361.4	514.25	78.68				73.633	5.9121	1.7759
3	0.0080	13.695	-1.0675	-6.7474							89.466	5.3009e-016	4.307e-016	53.668	-12.754	-163.81	-367.34	542.62	70.151				-403.16	539.64	58.734				-286.75	870.39	126.82	-458.01	611.34	77.555	-401.83	607.79	82.924	-466.14	640.22	92.256	-487.46	621.02	114.14	-344.75	530.3	77.476				73.633	5.9121	1.7759
4	0.0120	16.661	-0.43225	-2.6552	29.149	-4.8441	68.36	79.71	-50.766	60.379	84.893	7.9514e-016	-1.3252e-016	56.184	-13.028	-162.98	-358.01	555.25	66.618	79.832	-4.7716	51.887	-390.23	544.58	57.471	-495.13	598.64	86.698	-280.29	871.51	129.13	-454.7	612.5	76.722	-397.37	611.58	81.69	-463.15	642.24	90.846	-483.55	621.74	112.78	-329.51	546.89	75.093	-51.221	83.513	68.384	73.633	5.9121	1.7759
5	0.0160	16.056	0.088467	0.084224	29.929	-5.9653	67.641	84.003	-54.091	62.418	80.821	1.3252e-015	-5.9635e-016	62.09	-10.233	-165.86	-348.05	566.75	63.201	83.095	-4.551	55.888	-379.02	552.25	54.926	-491.07	600.11	84.952	-273.31	872.08	131.69	-450.86	614.13	75.494	-393.1	615.27	80.164	-459.85	643.95	89.685	-479.53	622.49	111.5	-316.52	564	71.024	-54.278	86.38	67.195	73.633	5.9121	1.7759
6	0.0200	13.068	0.55826	2.0886	24.036	-3.6621	64.978	82.205	-48.479	59.918	76.881	1.8553e-015	-9.9392e-016	69.218	-5.8223	-170.24	-337.73	577.07	59.641	83.103	-6.4336	52.604	-368.42	560.3	52.001	-487.91	602.57	83.003	-266.99	873.78	133.74	-446.84	615.89	74.174	-389.28	619.25	78.328	-455.78	644.79	88.969	-475.63	623.57	110.23	-305.86	581.02	65.481	-48.781	84.611	65.48	73.633	5.9121	1.7759
7	0.0240	10.639	0.85946	4.2948	17.367	-0.62186	63.926	80.293	-43.716	58.95	73.187	1.8553e-015	-9.9392e-016	74.244	-2.2849	-175.28	-328.11	587.05	55.496	83.311	-7.6451	51.181	-357.72	567.22	49.27	-484.45	604.88	81.264	-261.02	876.21	135.44	-442.48	617.45	73.01	-386.13	623.77	76.052	-451.68	645.75	88.294	-471.89	625.11	108.97	-297.24	597.2	58.928	-44.155	82.824	65.446	73.633	5.9121	1.7759
8	0.0280	8.7268	0.99137	7.257	11.484	2.9802	63.346	77.76	-40.933	57.728	69.08	1.3252e-015	-5.3009e-016	77.304	-0.07099	-180.7	-319.15	596.45	50.717	83.116	-8.2484	51.472	-347.12	573.21	46.53	-480.47	606.86	79.818	-254.18	877.68	137.53	-438.18	619.44	71.862	-383.11	628.34	73.48	-448.08	647.61	87.374	-468.23	626.96	107.77	-290.12	611.72	51.786	-41.645	80.803	65.823	73.633	5.9121	1.7759
9	0.0320	5.5779	0.6802	10.929	9.5878	6.2024	61.883	75.326	-41.719	54.6	64.344	1.0602e-015	-1.9878e-016	80.65	1.415	-183.69	-310.75	604.82	45.143	82.516	-8.2425	53.486	-337.64	579.58	42.975	-475.6	607.95	78.862	-246.47	878.26	139.97	-434.54	622.57	70.494	-379.53	632.32	70.983	-444.59	649.91	86.425	-464.27	628.62	106.81	-283.75	623.73	44.35	-42.784	79.237	64.623	73.633	5.9121	1.7759
10	0.0360	0.79698	-0.2376	14.744	11.632	9.1268	59.656	73.471	-44.548	49.895	60.081	1.3252e-015	-1.9878e-016	84.265	1.484	-179.41	-303.01	611.87	38.554	82.165	-8.0377	55.957	-329.93	586.47	38.264	-470.24	608.63	78.225	-238.47	878.62	142.46	-431.19	626.27	69.051	-375.09	635.57	68.75	-440.87	652.2	85.648	-459.86	629.96	106.13	-277.29	632.4	36.747	-45.896	78.411	61.743	73.633	5.9121	1.7759
11	0.0400	-4.5047	-1.6073	17.428	15.287	12.462	56.848	71.469	-46.41	44.505	57.826	1.8553e-015	-1.3252e-016	85.932	-0.77291	-166.95	-296.17	617.35	31.038	81.804	-7.9916	58.021	-323.93	592.86	32.701	-464.98	609.71	77.595	-230.43	878.87	144.91	-427.02	629.07	67.957	-370.06	638.38	66.649	-437.03	654.6	85.018	-455.44	631.59	105.46	-270.3	637.07	28.863	-48.072	77.303	58.072	73.633	5.9121	1.7759
12	0.0440	-9.3598	-2.965	17.815	18.562	16.201	53.559	68.786	-45.433	39.278	57.905	2.6505e-015	-3.9757e-016	85.602	-4.9525	-149.42	-290.58	621.15	23.184	81.265	-8.5728	58.581	-319.59	598.28	26.604	-460.21	611.8	76.714	-222.18	878.5	147.49	-421.76	630.74	67.304	-364.75	641.05	64.503	-432.82	656.8	84.638	-451.18	633.74	104.71	-263.54	637.94	21.188	-47.565	75.109	54.458	73.633	5.9121	1.7759
13	0.0480	-11.235	-3.3624	16.428	20.475	18.536	50.576	65.962	-43.398	35.293	59.717	3.1806e-015	-1.259e-015	83.552	-9.5197	-134	-286.81	623.6	16.708	81.021	-9.5563	58.194	-316.72	602.07	20.877	-455.5	614.32	75.783	-214.03	877.88	150.08	-415.99	632.18	66.834	-359.21	643.63	62.394	-428.11	658.64	84.537	-446.66	635.82	104.08	-258.56	636.76	15.335	-46.044	72.653	52.073	73.633	5.9121	1.7759
14	0.0520	-7.5103	-2.2537	14.35	21.66	17.07	50.09	65.287	-43.794	35.208	63.173	2.9155e-015	-1.8222e-015	79.937	-11.971	-130.25	-285.35	625.24	13.535	82.651	-10.064	59.065	-315.24	603.58	16.813	-450.29	616.48	75.139	-206.58	877.93	152.37	-410.28	634.11	66.307	-353.63	646.36	60.603	-423.67	661.06	84.358	-441.43	637.3	103.79	-256.28	636.17	12.707	-46.543	72.34	52.655	73.633	5.9121	1.7759
15	0.0560	0.48922	-0.35749	11.953	23.287	12.415	52.713	67.47	-46.877	39.455	68.356	2.1204e-015	-1.3584e-015	76.524	-11.576	-137.68	-285.93	626.33	13.489	86.489	-9.7886	61.855	-315.18	603.43	14.859	-444.79	618.41	74.756	-199.58	878.33	154.54	-404.62	636.37	65.841	-348.41	649.51	59.358	-420.08	664.8	83.832	-435.7	638.48	103.74	-256.24	637.3	12.907	-49.181	74.684	56.091	73.633	5.9121	1.7759
16	0.0600	8.6709	1.4686	10.492	24.092	8.8576	54.772	69.157	-49.384	43.273	74.052	1.0602e-015	-1.4909e-016	74.884	-10.486	-145.31	-287.44	626.84	14.422	89.222	-9.5232	64.311	-316.01	602.69	14.404	-439.53	620.65	74.471	-192.73	878.64	156.79	-399.19	638.93	65.551	-343.72	652.72	58.741	-416.49	668.69	83.406	-430.34	640.39	103.58	-257.24	638.97	13.942	-51.376	76.568	59.342	73.633	5.9121	1.7759
17	0.0640	13.979	3.1598	11.622	22.917	9.4173	53.731	68.252	-50.012	43.478	78.272	2.6505e-016	4.9541e-016	75.575	-11.178	-143.44	-288.67	626.75	14.4	89.026	-10.087	64.257	-316.9	602.03	14.414	-434.86	623.53	74.256	-186.16	879.19	159.05	-394.68	642.34	65.275	-339.32	655.18	58.662	-411.89	671.31	83.669	-425.66	643.29	103.32	-258.39	639.6	14.287	-52.242	76.255	60.521	73.633	5.9121	1.7759
18	0.0680	17.131	5.0914	15.037	19.825	12.662	50.686	65.793	-49.918	41.586	80.423	-2.6505e-016	4.5917e-016	76.837	-13.216	-136.18	-289.19	626.3	13.59	87.39	-11.457	61.772	-317.36	601.33	14.419	-430.61	626.76	74.243	-180.01	880.2	161.15	-391.2	646.47	64.994	-334.82	656.43	58.855	-406.16	672.52	84.742	-421.24	646.35	103.4	-259.28	639.01	13.869	-52.667	74.722	60.625	73.633	5.9121	1.7759
19	0.0720	19.797	7.1794	18.62	16.984	15.181	48.02	64.194	-50.82	40.337	81.557	-2.6505e-016	3.251e-016	77.602	-14.485	-131.35	-289.28	625.78	12.958	86.668	-12.767	59.032	-317.52	600.68	14.373	-426.41	629.81	74.598	-174.14	881.56	163.02	-387.97	650.35	64.98	-330.06	656.67	59.116	-400.26	673.54	86.145	-416.64	648.75	104.14	-259.77	638.19	13.258	-53.845	73.973	60.818	73.633	5.9121	1.7759
20	0.0760	22.365	8.9036	20.44	17.035	15.525	46.355	63.28	-53.087	39.074	83.039	-2.6505e-016	2.6039e-016	78.473	-14.605	-128.9	-289.28	625.39	12.669	87.133	-13.015	58.534	-317.72	600.46	14.238	-421.99	632.47	75.396	-168.42	883.09	164.66	-383.94	652.9	65.63	-325.24	656.51	59.364	-395.43	676.03	87.19	-412.11	650.89	105.35	-260.05	637.72	12.83	-56.314	74.233	60.863	73.633	5.9121	1.7759
21	0.0800	24.902	10.273	20.928	18.643	15.563	42.457	58.962	-54.468	33.119	85.047	-5.3009e-016	2.9662e-016	79.471	-14.587	-126.37	-289.4	625.24	12.489	85.227	-12.259	60.087	-318.06	600.62	14.117	-417.4	634.95	76.547	-162.84	884.82	166.08	-379.18	654.5	66.802	-320.57	656.44	59.552	-391.63	679.95	87.807	-408.57	654.3	106.3	-260.31	637.52	12.57	-59.175	72.416	59.191	73.633	5.9121	1.7759
22	0.0840	27.087	11.586	21.356	19.533	16.81	35.648	51.066	-53.772	22.947	87.055	-2.6505e-016	2.8161e-016	80.831	-14.818	-122.07	-289.57	625.18	12.218	80.337	-11.395	61.414	-318.58	601.06	14.079	-412.86	637.67	77.873	-157.41	886.8	167.32	-374.36	656.25	67.974	-316.03	656.48	59.633	-387.72	683.91	88.477	-405.78	659.01	106.86	-260.55	637.25	12.351	-61.318	67.893	56.089	73.633	5.9121	1.7759
23	0.0880	28.749	13.01	22.199	19.144	18.711	29.226	43.481	-52.248	13.956	88.778	7.9514e-016	5.9635e-016	82.806	-14.791	-115.56	-289.65	624.99	11.877	75.946	-11.094	60.867	-319.17	601.63	14.152	-408.37	640.66	79.282	-152.17	889.14	168.33	-369.73	658.56	68.883	-311.48	656.37	59.58	-382.74	686.69	89.619	-402.35	663.4	107.58	-260.76	636.85	12.13	-62.509	63.458	53.806	73.633	5.9121	1.7759
24	0.0920	30.018	14.41	23.22	19.39	20.115	25.564	38.259	-52.06	8.2583	90.132	2.3854e-015	1.1927e-015	85.394	-14.055	-106.86	-289.6	624.58	11.558	74.209	-10.857	59.86	-319.71	602.22	14.364	-403.42	643.24	80.995	-147.24	892.09	168.96	-365.16	661.15	69.627	-306.96	656.04	59.395	-377.04	688.73	91.077	-397.5	666.46	108.86	-260.97	636.47	11.918	-64.342	61.232	53.295	73.633	5.9121	1.7759
25	0.0960	30.965	15.716	24.247	21.127	20.769	23.849	34.646	-53.461	4.2579	91.38	3.1806e-015	1.259e-015	88.343	-12.6	-95.447	-289.48	624.01	11.296	74.542	-10.219	59.576	-320.15	602.78	14.725	-398.07	645.45	82.978	-142.46	895.56	169.23	-360.31	663.25	70.592	-302.47	655.23	59.28	-371.38	691	92.484	-391.73	668.87	110.49	-261.2	636.2	11.693	-67.318	60.846	53.671	73.633	5.9121	1.7759
26	0.1000	31.611	17.016	25.385	22.675	20.939	23.139	33.192	-55.436	2.6005	92.654	2.6505e-015	6.6262e-016	91.328	-10.538	-81.162	-289.35	623.42	11.073	76.41	-9.7543	58.489	-320.59	603.41	15.175	-393.38	648.47	84.699	-137.41	899.02	169.38	-355.15	664.74	71.861	-298	653.82	59.343	-365.85	693.54	93.78	-385.88	671.47	112.12	-261.47	636.01	11.404	-69.718	61.692	54.281	73.633	5.9121	1.7759
27	0.1040	32.191	17.994	26.122	23.241	20.416	25.204	36.041	-57.967	6.5294	93.722	1.3252e-015	-2.6505e-016	94.185	-8.3217	-65.383	-289.22	622.92	10.846	81.082	-9.9025	55.55	-321.03	604.13	15.721	-389.83	652.82	85.871	-131.88	902.21	169.55	-349.93	665.94	73.253	-293.83	652.48	59.288	-360.31	696.05	95.028	-379.94	673.83	113.77	-261.75	635.91	11.051	-70.452	64.501	56.06	73.633	5.9121	1.7759
28	0.1080	32.798	18.602	26.342	23.45	19.48	29.751	41.117	-61.128	13.933	94.243	0	-1.4578e-015	96.825	-6.714	-50.308	-289.04	622.56	10.648	87.611	-10.202	52.029	-321.29	604.77	16.518	-386.61	657.51	86.865	-126.05	905.32	169.64	-344.84	667.29	74.528	-290.21	651.82	58.849	-354.68	698.5	96.229	-373.74	675.59	115.55	-261.95	635.82	10.731	-70.515	68.589	59.099	73.633	5.9121	1.7759
29	0.1120	33.285	19.21	26.603	23.96	19.099	33.379	43.261	-64.001	18.321	94.087	-7.9514e-016	-2.9155e-015	99.114	-5.9614	-37.808	-288.75	622.29	10.582	92.376	-9.957	49.801	-321.24	605.23	17.631	-382.59	661.26	88.211	-120.24	908.69	169.51	-340.04	669.32	75.453	-287.06	651.8	58.115	-349	701.01	97.344	-367.62	677.33	117.31	-261.98	635.63	10.558	-71.539	71.472	61.985	73.633	5.9121	1.7759
30	0.1160	33.233	20.38	27.964	24.217	19.899	33.647	40.947	-65.941	17.295	93.624	-1.0602e-015	-3.1806e-015	101.3	-5.7573	-28.633	-288.31	622.06	10.646	93.933	-9.2898	48.659	-320.86	605.55	18.997	-377.86	664.29	89.806	-114.46	912.29	169.22	-335.32	671.73	76.15	-283.87	651.56	57.567	-343.31	703.56	98.36	-361.94	679.75	118.82	-261.83	635.3	10.547	-73.635	72.233	63.747	73.633	5.9121	1.7759
31	0.1200	32.412	22.123	30.692	23.811	21.638	31.492	36.514	-67.322	13.523	93.204	-7.9514e-016	-1.0602e-015	103.89	-6.0843	-23.492	-287.73	621.93	10.674	94.016	-8.594	47.725	-320.15	605.74	20.552	-373.01	667.3	91.296	-108.62	915.92	168.84	-330.44	673.91	76.853	-280.39	650.72	57.377	-337.69	706.15	99.233	-356.6	682.71	120.09	-261.56	634.94	10.622	-76.026	72.082	64.786	73.633	5.9121	1.7759
32	0.1240	31.06	23.691	33.768	23.082	23.991	28.797	31.645	-68.073	9.3388	92.862	0	1.5903e-015	107.11	-6.7398	-20.955	-287.03	621.85	10.589	93.957	-7.953	46.83	-319.09	605.82	22.292	-368.17	670.38	92.602	-102.67	919.55	168.31	-325.28	675.44	77.728	-276.81	649.73	57.331	-332.14	708.79	99.959	-351.32	685.78	121.22	-261.23	634.59	10.717	-78.097	71.573	65.761	73.633	5.9121	1.7759
33	0.1280	29.341	24.815	36.823	22.06	26.868	25.79	26.681	-68.044	5.2025	92.556	1.0602e-015	2.1204e-015	110.63	-6.8052	-17.933	-286.21	621.65	10.515	93.317	-7.4575	45.655	-317.82	606.03	24.127	-363.25	673.36	93.799	-96.61	923.09	167.59	-320.12	676.93	78.576	-273.24	648.7	57.383	-326.4	711.08	100.7	-346.03	688.86	122.17	-260.86	634.25	10.813	-79.838	70.563	66.793	73.633	5.9121	1.7759
34	0.1320	27.455	25.45	39.683	20.36	30.24	22.241	21.846	-66.971	1.4287	92.156	2.1204e-015	2.6505e-016	114.09	-6.0284	-13.784	-285.32	621.42	10.496	91.494	-7.2258	43.866	-316.52	606.64	25.878	-358.21	676.18	94.924	-90.427	926.41	166.7	-315.21	679.04	79.117	-269.81	647.94	57.467	-320.26	712.68	101.61	-340.74	692	122.91	-260.51	633.93	10.873	-81.216	68.728	67.954	73.633	5.9121	1.7759
35	0.1360	25.418	25.745	42.545	18.089	33.862	18.464	17.39	-65.412	-1.7469	91.63	2.9155e-015	-1.0602e-015	117.41	-4.9355	-9.7542	-284.46	621.33	10.449	89.23	-7.1705	41.767	-315.17	607.47	27.543	-353.12	678.91	95.929	-84.15	929.49	165.69	-310.41	681.5	79.442	-266.53	647.45	57.572	-313.94	713.91	102.54	-335.43	695.1	123.53	-260.23	633.73	10.84	-82.366	66.638	69.298	73.633	5.9121	1.7759
36	0.1400	23.392	25.734	45.204	16.805	37.082	15.703	12.931	-64.584	-5.1359	91.072	2.9155e-015	-5.3009e-016	120.65	-3.53	-6.3372	-283.6	621.3	10.369	87.749	-6.984	40.203	-313.75	608.41	29.148	-348.05	681.71	96.781	-77.824	932.36	164.55	-305.53	683.79	79.753	-263.36	647.01	57.698	-307.94	715.62	103.22	-330.11	698.11	124.09	-260.03	633.63	10.729	-83.954	65.37	70.613	73.633	5.9121	1.7759
37	0.1440	21.842	25.086	46.62	17.629	39.587	15.121	8.3553	-64.5	-8.974	90.496	2.3854e-015	2.3008e-031	123.78	-1.2825	-2.5099	-282.65	621.08	10.387	87.254	-6.5901	39.282	-312.32	609.59	30.664	-343.08	684.7	97.463	-71.433	934.99	163.23	-300.52	685.74	80.169	-260.33	646.69	57.803	-302.36	718.01	103.54	-324.85	701.11	124.58	-259.82	633.49	10.644	-86.01	64.906	71.778	73.633	5.9121	1.7759
